id,support_democrat,cong_district_region,occupation_code,gender_female,age,party,census_urbanpcnt,census_suburbanpcnt,census_ruralpcnt,census_collegepcnt,census_unemprate,census_medianincome,density_sq_km,on_email_list,avg_dem_performance,pet_owner,golf,hunting,random,likes_cheese,protestant,catholic,jewish,afam,latino,id_d,id_r,score_demo
40,,3,6,0,80,5,1,0,0,0.05192108,0.13311689,28438,3610.77,1,64.6,0,1,1,2,0,1,0,0,0,0,0,0,0.57201469
41,1,3,9,1,48,1,1,0,0,0.19354838,0.04980843,90738,1702.0919,1,47.5,0,1,1,6,0,1,0,0,0,0,1,0,0.46636346
42,0,2,2,0,64,5,0,0,1,0.08944099,0,68214,2.9292941,0,38.5,0,0,1,8,0,0,0,0,0,0,0,0,0.26936513
43,1,3,5,0,55,2,1,0,0,0.06996466,0.04778761,42054,2778.1062,0,64.3,0,0,1,10,0,1,0,0,0,0,0,0,0.53906006
44,,1,4,0,58,1,1,0,0,0.10267857,0.05246913,56985,503.9545,0,54.4,1,0,1,3,0,0,0,0,0,0,0,0,0.49225795
45,0,3,2,1,61,2,0.47332186,0,0.52667814,0.15667465,0.02891791,58487,216.66945,0,45.8,1,0,1,2,0,0,0,0,0,0,0,0,0.45109469
46,1,1,2,1,26,1,1,0,0,0.16989568,0.01320132,79192,2180.3103,1,46.7,1,1,1,1,0,1,0,0,0,0,0,0,0.50843364
47,1,3,5,0,65,5,1,0,0,0.11697248,0.07388749,50801,1386.0698,1,58.5,0,1,0,4,0,0,0,0,0,0,1,0,0.5076921
48,,3,2,1,72,2,0.51328725,0,0.48671278,0.27171108,0.02478699,80763,4.4076586,0,47.4,1,1,1,5,0,0,0,0,0,0,0,0,0.38621739
49,,2,7,1,26,5,1,0,0,0.3533237,0.04228122,79606,887.96619,0,57.1,0,0,0,10,0,0,0,0,0,0,0,0,0.49770019
50,0,3,2,0,43,2,1,0,0,0.36641222,0.0480226,44659,1051.2026,0,40.8,0,0,0,8,0,0,0,0,0,0,0,0,0.51990527
51,,1,3,0,62,5,0.16783217,0,0.8321678,0,0,40703,2.1623416,0,55.1,0,1,0,9,0,0,0,0,1,0,0,0,0.67220646
52,1,3,9,1,58,2,1,0,0,0.14863813,0.04212638,63529,2843.3276,0,50.6,1,0,1,2,0,0,0,0,0,0,0,0,0.54642457
53,1,3,2,1,35,1,0.96010739,0,0.0398926,0.22123331,0.027894,64150,330.45126,1,57,0,0,0,6,0,0,0,0,0,0,0,0,0.53941911
54,1,3,0,1,78,1,1,0,0,0.11414392,0.14432989,39125,6.0258169,0,50.5,0,1,0,8,0,0,0,0,0,0,1,0,0.61213863
